# Dansk Branchekode 2025 (DB25), alle 6-cifrede koder. Kilde: Danmarks Statistik,
# https://www.dst.dk/klassifikationsbilag/aa99c1bd-2d93-479a-8fb0-70d1b235467ecsv_da (hentet 2026-09-03).
# Format: kode;titel. Bruges af src/lib/__tests__/branchekode.test.ts til at køre HELE registret gennem motoren.
011100;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø
011200;Dyrkning af ris
011300;Dyrkning af grøntsager og meloner, rødder og rodknolde
011400;Dyrkning af sukkerrør
011500;Dyrkning af tobak
011600;Dyrkning af tekstilplanter
011900;Dyrkning af andre etårige afgrøder
012100;Dyrkning af druer
012200;Dyrkning af tropiske og subtropiske frugter
012300;Dyrkning af citrusfrugter
012400;Dyrkning af kernefrugter og stenfrugter
012500;Dyrkning af andre træfrugter, bær og nødder
012600;Dyrkning af olieholdige frugter
012700;Dyrkning af planter til fremstilling af drikkevarer
012800;Dyrkning af krydderiplanter, aromaplanter og lægeplanter
012900;Dyrkning af andre flerårige afgrøder
013000;Planteformering
014100;Avl af malkekvæg
014200;Avl af andet kvæg og bøfler
014300;Avl af heste og dyr af hestefamilien
014400;Avl af kameler og dyr af kamelfamilien
014500;Avl af får og geder
014610;Avl af smågrise
014620;Produktion af slagtesvin
014700;Fjerkræavl
014800;Avl af andre dyr
015000;Blandet landbrugsdrift
016100;Støtteaktiviteter i forbindelse med planteavl
016200;Støtteaktiviteter i forbindelse med husdyravl
016300;Forarbejdning af afgrøder efter høst af frø/sædekorn til udsæd
017000;Jagt, fældefangst og serviceydelser i forbindelse hermed
021000;Dyrkning af træer og andre skovbrugsaktiviteter
022000;Skovning
023000;Indsamling af vildtvoksende forstmateriale, undtagen træer
024000;Støtteaktiviteter i forbindelse med skovbrug
031100;Havfiskeri
031200;Ferskvandsfiskeri
032100;Havbrug
032200;Ferskvandsbrug
033000;Støtteaktiviteter i forbindelse med fiskeri og akvakultur
051000;Indvinding af stenkul
052000;Indvinding af brunkul
061000;Indvinding af råolie
062000;Indvinding af naturgas
071000;Brydning af jernmalm
072100;Brydning af uran- og thoriummalme
072900;Brydning af andre ikke-jernholdige metalmalme
081100;Brydning af pyntesten, kalksten, gips, skifer mv.
081200;Grus- og sandgravning og indvinding af ler og kaolin
089100;Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer
089200;Indvinding af tørv
089300;Saltindvinding
089900;Anden råstofindvinding i.a.n.
091000;Støtteaktiviteter i forbindelse med indvinding af råolie og naturgas
099000;Støtteaktiviteter i forbindelse med anden råstofindvinding
101110;Forarbejdning af svinekød
101190;Forarbejdning af andet kød
101200;Forarbejdning og konservering af fjerkrækød
101300;Fremstilling af kød- og fjerkrækødprodukter
102010;Fremstilling af fiskemel
102020;Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel
103100;Forarbejdning og konservering af kartofler
103200;Fremstilling af frugt- og grøntsagssaft
103900;Anden forarbejdning og konservering af frugt og grøntsager
104100;Fremstilling af olier og fedtstoffer
104200;Fremstilling af margarine o.lign. spiselige fedtstoffer
105100;Fremstilling af mejeriprodukter
105200;Fremstilling af konsumis
106100;Fremstilling af mølleriprodukter
106200;Fremstilling af stivelse og stivelsesprodukter
107110;Industriel fremstilling af brød og kager mv.
107120;Fremstilling af friske bageriprodukter
107200;Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.
107300;Fremstilling af dejprodukter
108100;Fremstilling af sukker
108200;Fremstilling af kakao, chokolade og sukkervarer
108300;Forarbejdning af te og kaffe
108400;Fremstilling af smagspræparater og krydderier
108500;Fremstilling af færdigretter
108600;Fremstilling af homogeniserede produkter og diætmad
108900;Fremstilling af andre fødevarer i.a.n.
109100;Fremstilling af færdige foderblandinger til landbrugsdyr
109200;Fremstilling af færdige foderblandinger til kæledyr
110100;Destillation, rektifikation og blanding af alkohol
110200;Fremstilling af vin af druer
110300;Fremstilling af cider og andre gærede drikkevarer af frugt
110400;Fremstilling af andre ikke-destillerede gærede drikkevarer
110500;Fremstilling af øl
110600;Fremstilling af malt
110700;Fremstilling af læskedrikke og vand på flaske
120000;Fremstilling af tobaksvarer
131000;Forbehandling og spinding af tekstilfibre
132000;Vævning af tekstiler
133000;Efterbehandling af tekstiler
139100;Fremstilling af trikotagestoffer
139200;Fremstilling af tekstiler til husholdningsbrug og færdige boligtekstiler
139300;Fremstilling af gulvtæpper og -måtter
139400;Fremstilling af reb, tovværk, sejlgarn og netstoffer
139500;Fremstilling af fiberdug og varer af fiberdug
139600;Fremstilling af andre tekniske og industrielle tekstiler
139900;Fremstilling af andre tekstiler i.a.n.
141000;Fremstilling af strikkede og hæklede beklædningsartikler
142100;Fremstilling af yderbeklædning
142200;Fremstilling af underbeklædning
142300;Fremstilling af arbejdsbeklædning
142400;Fremstilling af beklædningsartikler af læder og pelsskind
142900;Fremstilling af andre beklædningsartikler samt tilbehør i.a.n.
151100;Garvning, beredning og farvning af læder og pelsskind
151200;Fremstilling af tasker, kufferter, sadelmagervarer mv., uanset materialets art
152000;Fremstilling af fodtøj
161100;Udsavning og høvling af træ
161200;Forarbejdning og færdigbearbejdning af træ
162100;Fremstilling af finerplader og træbaserede plader
162200;Fremstilling af sammensatte parketstave
162300;Fremstilling af bygningstømmer og snedkeriartikler i øvrigt
162400;Fremstilling af træemballage
162500;Fremstilling af døre og vinduer af træ
162600;Fremstilling af fast brændsel på basis af vegetabilsk biomasse
162700;Færdigbearbejdning af trævarer
162800;Fremstilling af andre trævarer og varer af kork, strå og flettematerialer
171100;Fremstilling af papirmasse
171200;Fremstilling af papir og pap
172100;Fremstilling af bølgepap, pap og emballage af papir og pap
172200;Fremstilling af husholdningsartikler og hygiejneartikler samt toiletartikler af papir og pap
172300;Fremstilling af kontorartikler af papir
172400;Fremstilling af tapet
172500;Fremstilling af andre papir- og papvarer
181100;Trykning af dagblade
181200;Anden trykning
181300;Prepress- og premedia-arbejde
181400;Bogbinding og lignende serviceydelser
182000;Reproduktion af indspillede medier
191000;Fremstilling af koksovnsprodukter
192000;Fremstilling af raffinerede mineralolieprodukter og fossile brændstoffer
201100;Fremstilling af industrigasser
201200;Fremstilling af farvestoffer og pigmenter
201300;Fremstilling af andre uorganiske basiskemikalier
201400;Fremstilling af andre organiske basiskemikalier
201500;Fremstilling af gødningsstoffer og nitrogenprodukter
201600;Fremstilling af plast i ubearbejdet form
201700;Fremstilling af syntetisk gummi i ubearbejdet form
202000;Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter
203000;Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer
204100;Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler
204200;Fremstilling af parfume, hårshampoo, tandpasta mv.
205100;Fremstilling af flydende biobrændstoffer
205900;Fremstilling af andre kemiske produkter i.a.n.
206000;Fremstilling af kemofibre
211000;Fremstilling af farmaceutiske råvarer
212000;Fremstilling af farmaceutiske præparater
221100;Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger
221200;Fremstilling af andre gummiprodukter
222100;Fremstilling af plader, ark, rør og slanger samt profiler af plast
222200;Fremstilling af plastemballage
222300;Fremstilling af døre og vinduer af plast
222400;Fremstilling af bygningsartikler af plast
222500;Forarbejdning og færdigbehandling af plastprodukter
222600;Fremstilling af andre plastprodukter
231100;Fremstilling af planglas
231200;Formning og forarbejdning af planglas
231300;Fremstilling af flasker, drikkeglas mv.
231400;Fremstilling af glasfiber
231500;Fremstilling og bearbejdning af andet glas, herunder teknisk glas
232000;Fremstilling af ildfaste produkter
233100;Fremstilling af keramiske teglsten og gulvfliser
233200;Fremstilling af mursten, teglsten og byggematerialer af brændt ler
234100;Fremstilling af keramiske husholdningsartikler og pyntegenstande
234200;Fremstilling af keramiske sanitetsartikler
234300;Fremstilling af keramiske isolatorer og isoleringsdele
234400;Fremstilling af andre keramiske produkter til teknisk brug
234500;Fremstilling af andre keramiske produkter
235100;Fremstilling af cement
235200;Fremstilling af kalk og gips
236100;Fremstilling af byggematerialer af beton
236200;Fremstilling af byggematerialer af gips
236300;Fremstilling af færdigblandet beton
236400;Fremstilling af mørtel
236500;Fremstilling af fibercement
236600;Fremstilling af andre produkter af beton, cement og gips
237000;Tilhugning, tilskæring og færdigbearbejdning af sten
239100;Fremstilling af slibemidler
239910;Fremstilling af asfalt og tagpap
239990;Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap
241000;Fremstilling af råjern og råstål samt jernlegeringer
242000;Fremstilling af rør, hule profiler og tilhørende fittings af stål
243100;Fremstilling af stænger ved koldtrækning
243200;Fremstilling af stålbånd ved koldvalsning
243300;Koldbehandling
243400;Fremstilling af tråd ved koldtrækning
244100;Fremstilling af ædelmetaller
244200;Fremstilling af aluminium
244300;Fremstilling af bly, zink og tin
244400;Fremstilling af kobber
244500;Anden fremstilling af ikke-jernholdige metaller
244600;Oparbejdning af nukleart brændsel
245100;Støbning af jernprodukter
245200;Støbning af stålprodukter
245300;Støbning af letmetalprodukter
245400;Støbning af andre ikke-jernholdige metalprodukter
251100;Fremstilling af metalkonstruktioner og dele heraf
251200;Fremstilling af døre og vinduer af metal
252100;Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg
252200;Fremstilling af andre tanke og beholdere af metal
253000;Fremstilling af våben og ammunition
254000;Smedning og valsning af metal samt pulvermetallurgi
255100;Overfladebehandling af metal
255200;Varmebehandling af metal
255300;Maskinforarbejdning af metal
256100;Fremstilling af bestik, skære- og klipperedskaber
256200;Fremstilling af låse og hængsler
256300;Fremstilling af håndværktøj
259100;Fremstilling af metaltønder og lignende beholdere
259200;Fremstilling af letmetalemballage
259300;Fremstilling af trådvarer, kæder og fjedre
259400;Fremstilling af lukkeanordninger, bolte, skruer og møtrikker
259900;Fremstilling af andre færdige metalprodukter i.a.n.
261100;Fremstilling af elektroniske komponenter
261200;Fremstilling af printplader o.lign.
262000;Fremstilling af computere og ydre enheder
263000;Fremstilling af kommunikationsudstyr
264000;Fremstilling af elektronik til husholdninger
265100;Fremstilling af instrumenter og udstyr til måling, afprøvning og navigation
265200;Fremstilling af ure
266010;Fremstilling af høreapparater og dele hertil
266090;Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr
267000;Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr
271100;Fremstilling af elektriske motorer, generatorer og transformatorer
271200;Fremstilling af elektriske fordelings- og kontrolapparater
272000;Fremstilling af batterier og akkumulatorer
273100;Fremstilling af lyslederkabler
273200;Fremstilling af andre elektroniske og elektriske ledninger og kabler
273300;Fremstilling af tilbehør til ledninger og kabler
274000;Fremstilling af belysningsartikler
275100;Fremstilling af elektriske husholdningsapparater
275200;Fremstilling af ikke-elektriske husholdningsapparater
279000;Fremstilling af andet elektrisk udstyr
281100;Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter
281200;Fremstilling af hydraulisk udstyr
281300;Fremstilling af andre pumper og kompressorer
281400;Fremstilling af andre haner og ventiler
281500;Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer
282100;Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning
282200;Fremstilling af løfte- og håndteringsudstyr
282300;Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder
282400;Fremstilling af motordrevet håndværktøj
282500;Fremstilling af klimaanlæg, ikke til husholdningsbrug
282900;Fremstilling af andre maskiner til generelle formål i.a.n.
283000;Fremstilling af landbrugs- og skovbrugsmaskiner
284100;Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal
284200;Fremstilling af andet maskinværktøj
289100;Fremstilling af maskiner til metallurgi
289200;Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg
289300;Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien
289400;Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder
289500;Fremstilling af maskiner til produktion af papir og pap
289600;Fremstilling af maskiner til produktion af plast og gummi
289700;Fremstilling af maskiner til additiv fremstilling
289900;Fremstilling af andre maskiner til specielle formål i.a.n.
291000;Fremstilling af motorkøretøjer
292000;Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne
293100;Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
293200;Fremstilling af andre dele og tilbehør til motorkøretøjer
301100;Bygning af civile skibe og flydende materiel
301200;Bygning af både til fritid og sport
301300;Bygning af militærfartøjer
302000;Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje
303100;Fremstilling af civile luft- og rumfartøjer o.lign.
303200;Fremstilling af militære luft- og rumfartøjer o.lign.
304000;Fremstilling af militære kampkøretøjer
309100;Fremstilling af motorcykler
309200;Fremstilling af cykler og kørestole
309900;Fremstilling af andre transportmidler i.a.n.
310000;Fremstilling af møbler
321100;Prægning af mønter
321200;Fremstilling af smykker og lignende varer
321300;Fremstilling af bijouteri og lignende varer
322000;Fremstilling af musikinstrumenter
323000;Fremstilling af sportsudstyr
324000;Fremstilling af spil og legetøj
325000;Fremstilling af medicinske og dentale instrumenter samt udstyr hertil
329100;Fremstilling af koste og børster
329900;Andre fremstillingsaktiviteter i.a.n.
331100;Reparation og vedligeholdelse af færdige metalprodukter
331200;Reparation og vedligeholdelse af maskiner
331300;Reparation og vedligeholdelse af elektronisk og optisk udstyr
331400;Reparation og vedligeholdelse af elektrisk udstyr
331500;Reparation og vedligeholdelse af civile skibe og både
331600;Reparation og vedligeholdelse af civile luft- og rumfartøjer
331700;Reparation og vedligeholdelse af andre civile transportmidler
331800;Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer
331900;Reparation og vedligeholdelse af andet udstyr
332000;Installation af industrimaskiner og -udstyr
351100;Produktion af elektricitet fra ikke-vedvarende energikilder
351200;Produktion af elektricitet fra vedvarende energikilder
351300;Transmission af elektricitet
351400;Distribution af elektricitet
351510;Handel med elektricitet via ladestationer o. lign.
351590;Anden handel med elektricitet
351600;Lagring af elektricitet
352100;Produktion af gas
352200;Distribution af gas
352300;Handel med gas gennem rørledninger
352400;Oplagring af gas i forbindelse med drift af forsyningsnet
353000;Fjernvarmeforsyning
354000;Mægler- og agentaktiviteter i forbindelse med forsyning af elektricitet og naturgas
360000;Vandforsyning
370000;Opsamling og behandling af spildevand
381100;Indsamling af ikke-farligt affald
381200;Indsamling af farligt affald
382100;Genindvinding af materialer
382200;Energiudnyttelse af affald
382300;Anden nyttiggørelse af affald
383100;Forbrænding uden energiudnyttelse
383200;Deponering eller permanent oplagring
383300;Anden bortskaffelse af affald
390000;Rensning af jord og grundvand og anden dekontaminering
410000;Opførelse af bygninger
421100;Anlæg af veje og motorveje
421200;Anlæg af jernbaner og undergrundsbaner
421300;Anlæg af broer og tunneller
422100;Anlæg af ledningsnet til væsker
422200;Anlæg af ledningsnet til elektricitet og telekommunikation
429100;Anlæg af vandveje, havne, diger, dæmninger mv.
429900;Andre anlægsaktiviteter i.a.n.
431100;Nedrivning
