Remm ApS – Driftsbudget 2026 (BASE),,,,,,,,,,,,,
Alle beløb er i DKK og ex. moms. Budgettet beregnes fra 'Input til Budget'.,Januar,Februar,Marts,April,Maj,Juni,Juli,August,September,Oktober,November,December,Årstotal
,,,,,,,,,,,,,
KPI,Årstotal,Kommentar,,,,,,,,,,,
Revenue,"2,700,000",Nettoomsætning B2C + B2B,,,,,,,,,,,
Gross Profit,"1,624,625","Efter COGS, fragt, betaling, pakkeri, retur og B2B provision",,,,,,,,,,,
Gross Profit Margin %,60.2%,Gross Profit / Revenue,,,,,,,,,,,
Contribution Margin,"952,958",Efter marketing spend,,,,,,,,,,,
Contribution Margin %,35.3%,Contribution Margin / Revenue,,,,,,,,,,,
Net Profit,"188,724",Efter faste omkostninger inkl. uforudsete omkostninger,,,,,,,,,,,
Net Profit Margin %,7.0%,Net Profit / Revenue,,,,,,,,,,,
Total B2C Orders,"6,125",Beregnet ud fra gns. B2C-ordrer pr. dag × dage i måned,,,,,,,,,,,
Total B2B Orders,2,Beregnet ud fra B2B-input,,,,,,,,,,,
Total Marketing Spend,"671,667",Absolut marketing spend,,,,,,,,,,,
Blended ROAS,3.6x,Total B2C Revenue / Marketing Spend,,,,,,,,,,,
,,,,,,,,,,,,,
Alle beløb er i DKK og ex. moms,Januar,Februar,Marts,April,Maj,Juni,Juli,August,September,Oktober,November,December,Årstotal
Revenue,,,,,,,,,,,,,
B2C DK,"80,000","80,000","80,000","80,000","400,000","250,000","60,000","85,000","85,000","100,000","500,000","550,000","2,350,000"
B2C SE,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","25,000","15,000","15,000","100,000"
Total B2C,"85,000","85,000","85,000","85,000","405,000","255,000","65,000","90,000","90,000","125,000","515,000","565,000","2,450,000"
B2B salg,-,-,-,-,-,-,-,-,-,"100,000","150,000",-,"250,000"
Nettoomsætning,"85,000","85,000","85,000","85,000","405,000","255,000","65,000","90,000","90,000","225,000","665,000","565,000","2,700,000"
,,,,,,,,,,,,,
Gross Profit,,,,,,,,,,,,,
Nettoomsætning,"85,000","85,000","85,000","85,000","405,000","255,000","65,000","90,000","90,000","225,000","665,000","565,000","2,700,000"
B2C Product Cost / COGS,"(17,000)","(17,000)","(17,000)","(17,000)","(81,000)","(51,000)","(13,000)","(18,000)","(18,000)","(25,000)","(103,000)","(113,000)","(490,000)"
B2B Product Cost / COGS,-,-,-,-,-,-,-,-,-,"(40,000)","(60,000)",-,"(100,000)"
Shipping Cost,"(7,438)","(7,438)","(7,438)","(7,438)","(35,438)","(22,313)","(5,688)","(7,875)","(7,875)","(10,938)","(45,063)","(49,438)","(214,375)"
