Bagerhuset Silkeborg ApS;;;;;;;;;;;;;;;
Budget 2026 (alle tal i kr.);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;jan;feb;mar;apr;maj;jun;jul;aug;sep;okt;nov;dec;;;
Salg butik;412.500,00;389.200,00;445.100,00;467.800,00;491.300,00;502.700,00;488.900,00;471.200,00;456.800,00;463.400,00;498.100,00;612.900,00;;;
Salg catering;38.400,00;41.200,00;52.800,00;61.400,00;72.100,00;84.600,00;66.300,00;58.900,00;69.200,00;74.500,00;98.300,00;142.700,00;;;
Omsætning i alt;450.900,00;430.400,00;497.900,00;529.200,00;563.400,00;587.300,00;555.200,00;530.100,00;526.000,00;537.900,00;596.400,00;755.600,00;;;
;;;;;;;;;;;;;;;
Mel og gær;-84.100,00;-80.300,00;-92.800,00;-98.700,00;-105.100,00;-109.500,00;-103.600,00;-98.900,00;-98.100,00;-100.300,00;-111.200,00;-140.900,00;;;
Smør og mejeri;-61.300,00;-58.500,00;-67.700,00;-71.900,00;-76.600,00;-79.800,00;-75.500,00;-72.100,00;-71.500,00;-73.100,00;-81.100,00;-102.700,00;;;
Emballage;-12.400,00;-11.800,00;-13.700,00;-14.600,00;-15.500,00;-16.100,00;-15.300,00;-14.600,00;-14.500,00;-14.800,00;-16.400,00;-20.800,00;;;
Vareforbrug i alt;-157.800,00;-150.600,00;-174.200,00;-185.200,00;-197.200,00;-205.400,00;-194.400,00;-185.600,00;-184.100,00;-188.200,00;-208.700,00;-264.400,00;;;
;;;;;;;;;;;;;;;
Løn produktion;-142.000,00;-142.000,00;-142.000,00;-148.000,00;-148.000,00;-148.000,00;-155.000,00;-155.000,00;-148.000,00;-148.000,00;-155.000,00;-182.000,00;;;
Løn butik;-88.000,00;-88.000,00;-88.000,00;-92.000,00;-92.000,00;-92.000,00;-96.000,00;-96.000,00;-92.000,00;-92.000,00;-96.000,00;-118.000,00;;;
Lønninger i alt;-230.000,00;-230.000,00;-230.000,00;-240.000,00;-240.000,00;-240.000,00;-251.000,00;-251.000,00;-240.000,00;-240.000,00;-251.000,00;-300.000,00;;;
;;;;;;;;;;;;;;;
Husleje;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;-46.000,00;;;
El og gas;-18.900,00;-17.200,00;-15.400,00;-13.100,00;-11.800,00;-10.900,00;-11.200,00;-11.600,00;-13.400,00;-15.900,00;-18.100,00;-21.300,00;;;
Forsikring og alarm;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;-4.200,00;;;
Lokaler i alt;-69.100,00;-67.400,00;-65.600,00;-63.300,00;-62.000,00;-61.100,00;-61.400,00;-61.800,00;-63.600,00;-66.100,00;-68.300,00;-71.500,00;;;
;;;;;;;;;;;;;;;
Resultat;-6.000,00;-17.600,00;28.100,00;40.700,00;64.200,00;80.800,00;48.400,00;31.700,00;38.300,00;43.600,00;68.400,00;119.700,00;;;
