Konto;Kontonavn;Beløb
1506;Events;-36.750,00
1509;Firmature;-592.650,25
1510;SkiCamp;0,00
1512;Forudbetaling (Firmature);0,00
2400;Valutakursdifferencer, import;174,23
2500;Hotel & Liftkort, SkiCamp;0,00
2520;Transport, SkiCamp;0,00
2530;Team SkiCamp;0,00
2573;Omkostninger, andre ture & events (Dansk moms);0,00
2575;Omkostninger, andre ture & events (margenmoms);141.413,36
3000;AM-indkomst;9.901,00
3020;Arbejdsgiver ATP;198,00
3040;Medarbejder ATP;99,00
3100;Feriepenge og SH;-3.118,53
3160;Kørsel i egen bil (kilometergodtgørelse);16.745,24
3180;AER/AES/ATP-finansieringsbidrag;414,93
3300;Diverse vedr. ansatte med moms;24,88
3355;Frokostordning til ansatte;6.237,19
4120;Repræsentation, restaurant, personale, fuldt fradrag;157,70
4240;Øvrige personaleomkostninger;3.272,62
5000;Husleje;3.280,00
6085;Parkering uden moms;174,83
6200;Færge;584,52
6400;Diverse transportomkostninger uden moms;790,93
7020;Bogføringsassistance;4.151,49
7040;Konsulentbistand;7.500,00
7220;Porto og gebyrer;150,00
7240;Telefoni;1.514,01
7300;Internet og webhotel;1.701,60
7320;Køb af software;981,37
7321;Køb af software (EU);1.207,04
7322;Køb af software (øvrig udland);1.434,60
7400;Betalingsløsning;46,46
8040;Småanskaffelser (straksafskrivning);270,63
